You are an expert on semantics and comprehending natural language better than humans. You can also distinguish between words used to express and words that signify a geometric feature.

Task: You are provided with a database schema and an input query. Your goal is to analyze the query and identify any geometric features mentioned in it that are not directly present in the schema. For each identified feature, determine whether it exists in the schema. If the feature is not present, specify the feature that is missing.

Instructions:

Database Schema Analysis:

Examine the provided database schema carefully to understand its structure and the types of geometric features it contains.
Identify the geometric primitives and attributes included in the schema, such as points, lines, polygons, circles, arcs, etc.
Input Query Analysis:

Analyze the input query to identify any geometric features mentioned within it.
Look for terms indicating geometric shapes, such as "circle," "rectangle," "line segment," etc., and any related attributes or operations.
Comparison with Schema:

Compare the geometric features mentioned in the query with those present in the database schema.
Determine whether each mentioned feature already exists in the schema or not.
Response Specification:

If a geometric feature mentioned in the query is present in the schema, indicate its existence.
If a mentioned feature is not present in the schema, specify the missing feature(s) to be included for comprehensive coverage.
features that you are supposed to ignore: 
"face(s)", "radius", "plane"

The words that you are asked to ignore should be considered in your response. Focus on this instruction or it wont be good for you.
<Database_Schema>

Table Name: bodies
Column Name    |Column Type    |Max            |Min            |Count          |Unique Values  |
---------------|---------------|---------------|---------------|---------------|---------------|
id             |INTEGER        |        1.00000|        1.00000|              1|               |
area           |REAL           |  4448048.15882|  4448048.15882|              1|               |
volume         |REAL           | 12762317.49510| 12762317.49510|              1|               |
x              |REAL           |     4970.39568|     4970.39568|              1|               |
y              |REAL           |       35.35630|       35.35630|              1|               |
z              |REAL           |        0.64445|        0.64445|              1|               |
name           |TEXT           |        0.00000|        0.00000|              1|               |
tag            |INTEGER        |   480363.00000|   480363.00000|              1|               |
color          |TEXT           |        0.00000|        0.00000|              1|79             |
xaxis          |REAL           |       35.36217|       35.36217|              1|               |
yaxis          |REAL           |     4970.39572|     4970.39572|              1|               |
zaxis          |REAL           |     4970.52143|     4970.52143|              1|               |
yzangle        |REAL           |        1.04424|        1.04424|              1|               |
zxangle        |REAL           |       89.99257|       89.99257|              1|               |
xyangle        |REAL           |        0.40756|        0.40756|              1|               |

Table Name: faces
Column Name    |Column Type    |Max            |Min            |Count          |Unique Values  |
---------------|---------------|---------------|---------------|---------------|---------------|
id             |INTEGER        |     8901.00000|        1.00000|           8901|               |
area           |REAL           |   301647.75591|        0.00009|           8901|               |
perimeter      |REAL           |     7757.28962|        0.05983|           8901|               |
x              |REAL           |     5162.67700|     4800.16820|           8901|               |
y              |REAL           |      441.52143|     -439.83776|           8901|               |
z              |REAL           |      440.89613|     -440.98030|           8901|               |
radius         |REAL           |      441.52500|        0.00000|           8901|               |
radius_minor   |REAL           | 393700786.40157|    -1224.27108|           8901|               |
radius_major   |REAL           | 393700786.40157|-154156059.95062|           8901|               |
type           |TEXT           |        0.00000|        0.00000|           8901|Planar,Cylindrical,Spherical,Blend,Revolved,BSurface
,Conical|
name           |TEXT           |        0.00000|        0.00000|           8901|               |
tag            |INTEGER        |   489855.00000|    59371.00000|           8901|               |
color          |TEXT           |        0.00000|        0.00000|           8901|79,87,129      |
normal_xangle  |REAL           |      180.00000|        0.00000|           8901|               |
normal_yangle  |REAL           |      180.00000|        0.00000|           8901|               |
normal_zangle  |REAL           |      180.00000|        0.00000|           8901|               |
normal_xrad    |REAL           |      180.00000|        0.00000|           8901|               |
normal_yrad    |REAL           |      180.00000|        0.00000|           8901|               |
normal_zrad    |REAL           |      180.00000|        0.00000|           8901|               |
xaxis          |REAL           |      441.52143|        0.00000|           8901|               |
yaxis          |REAL           |     5162.67700|     4800.16820|           8901|               |
zaxis          |REAL           |     5162.67700|     4800.16820|           8901|               |
yzangle        |REAL           |      360.00000|        0.00000|           8901|               |
zxangle        |REAL           |       95.12649|       84.87448|           8901|               |
xyangle        |REAL           |      359.99961|        0.00000|           8901|               |

Table Name: edges
Column Name    |Column Type    |Max            |Min            |Count          |Unique Values  |
---------------|---------------|---------------|---------------|---------------|---------------|
id             |INTEGER        |    20960.00000|        1.00000|          20960|               |
type           |TEXT           |        0.00000|        0.00000|          20960|Intersection,Linear,Circular,Elliptical,Other|
name           |TEXT           |        0.00000|        0.00000|          20960|               |
length         |REAL           |     2690.27429|        0.00311|          20960|               |
x              |REAL           |     5162.67700|     4800.16820|          20960|               |
y              |REAL           |      441.51787|     -440.05652|          20960|               |
z              |REAL           |      452.59516|     -452.59516|          20960|               |
radius         |REAL           |      441.52500|        0.00000|          20960|               |
tag            |INTEGER        |   487103.00000|    60928.00000|          20960|               |
color          |TEXT           |        0.00000|        0.00000|          20960|79             |
xaxis          |REAL           |      474.80509|        0.00000|          20960|               |
yaxis          |REAL           |     5164.01108|     4800.16820|          20960|               |
zaxis          |REAL           |     5164.10950|     4800.16820|          20960|               |
yzangle        |REAL           |      360.00000|        0.00000|          20960|               |
zxangle        |REAL           |       95.16041|       84.83959|          20960|               |
xyangle        |REAL           |      359.99961|        0.00000|          20960|               |

</Database_Schema>
